Year,Player,Team,Position,Bid_Amount
2021,Alexander Mattison,San Diego Shadowcocks,N/A,1
2021,Jaylen Waddle,Tijuana Sanchitos,N/A,2
2021,Tua Tagovailoa,Tittsburgh Feelers,N/A,2
2021,Jarvis Landry,Westeros  Warlords,N/A,1
2021,Trey Lance,Fairview Fat Cats,N/A,1
2021,Tony Pollard,Squaw Valley Skinners,N/A,2
2021,Elijah Moore,Chula Vista Chupacabras,N/A,1
2021,DeVante Parker,Tijuana Sanchitos,N/A,2
2021,Marvin Jones Jr.,Goleta Gringos,N/A,1
2021,Jonnu Smith,San Diego Shadowcocks,N/A,1
2021,Henry Ruggs III,Honolulu Horndogs,N/A,1
2021,Cole Beasley,Tijuana Sanchitos,N/A,1
2021,Jakobi Meyers,Westeros  Warlords,N/A,1
2021,Emmanuel Sanders,Fairview Fat Cats,N/A,1
2021,Darrel Williams,Tittsburgh Feelers,N/A,1
2021,Jalen Reagor,Goleta Gringos,N/A,1
2021,Tyler Higbee,San Diego Shadowcocks,N/A,1
2021,Latavius Murray,Honolulu Horndogs,N/A,1
2021,Austin Hooper,Westeros  Warlords,N/A,1
2021,A.J. Green,Fairview Fat Cats,N/A,1
2021,Bryan Edwards,Tittsburgh Feelers,N/A,1
2021,Tevin Coleman,Goleta Gringos,N/A,1
2021,Colts D/ST,San Diego Shadowcocks,N/A,1
2021,Tyrell Williams,Honolulu Horndogs,N/A,1
2021,Parris Campbell,Tittsburgh Feelers,N/A,1
2021,James White,Goleta Gringos,N/A,1
2021,Malcolm Brown,San Diego Shadowcocks,N/A,1
2021,Russell Gage,Honolulu Horndogs,N/A,1
2021,Browns D/ST,Goleta Gringos,N/A,1
2021,Jamison Crowder,San Diego Shadowcocks,N/A,1
2021,Hunter Henry,Honolulu Horndogs,N/A,1
2021,Amon-Ra St. Brown,Goleta Gringos,N/A,1
2021,Randall Cobb,San Diego Shadowcocks,N/A,1
2021,Ryan Succop,Honolulu Horndogs,N/A,1
2021,Rashaad Penny,Goleta Gringos,N/A,1
2021,Rhamondre Stevenson,San Diego Shadowcocks,N/A,1
2021,Nelson Agholor,Honolulu Horndogs,N/A,1
2021,Ty'Son Williams,Goleta Gringos,N/A,1
2021,Chase McLaughlin,Goleta Gringos,N/A,1
2022,Najee Harris,Westeros  Warlords,N/A,66
2022,Diontae Johnson,Tijuana Sanchitos,N/A,18
2022,Derrick Henry,San Diego Shadowcöcks,N/A,71
2022,Davante Adams,DC Mighty Cucks,N/A,41
2022,Courtland Sutton,Squaw Valley Skinners,N/A,18
2022,Saquon Barkley,DC Mighty Cucks,N/A,45
2022,Jonathan Taylor,Chula Vista Chupacabras,N/A,91
2022,Christian McCaffrey,Westeros  Warlords,N/A,75
2022,Austin Ekeler,Squaw Valley Skinners,N/A,71
2022,Cooper Kupp,San Diego Shadowcöcks,N/A,59
2022,Nick Chubb,Tittsburgh Feelers,N/A,53
2022,Mark Andrews,Honolulu Horndogs,N/A,39
2022,Ja'Marr Chase,Pasco Pounders,N/A,56
2022,49ers D/ST,Squaw Valley Skinners,N/A,1
2022,Justin Jefferson,Poulsbo Polliwogs,N/A,65
2022,Javonte Williams,Fairview Fat Cats,N/A,56
2022,Justin Tucker,Tijuana Sanchitos,N/A,4
2022,Buccaneers D/ST,Tijuana Sanchitos,N/A,2
2022,Ezekiel Elliott,Tijuana Sanchitos,N/A,39
2022,Evan McPherson,Chula Vista Chupacabras,N/A,3
2022,Joe Mixon,Tittsburgh Feelers,N/A,67
2022,Dalvin Cook,Tijuana Sanchitos,N/A,66
2022,Gabe Davis,Chula Vista Chupacabras,N/A,17
2022,D'Andre Swift,DC Mighty Cucks,N/A,52
2022,Aaron Jones,Fairview Fat Cats,N/A,55
2022,Dameon Pierce,Poulsbo Polliwogs,N/A,21
2022,Deebo Samuel,Poulsbo Polliwogs,N/A,45
2022,Alvin Kamara,Goleta Gringos,N/A,61
2022,Justin Fields,Tittsburgh Feelers,N/A,1
2022,Saints D/ST,Fairview Fat Cats,N/A,1
2022,Josh Allen,San Diego Shadowcöcks,N/A,22
2022,Leonard Fournette,Honolulu Horndogs,N/A,56
2022,Stefon Diggs,Pasco Pounders,N/A,49
2022,Bills D/ST,Honolulu Horndogs,N/A,3
