year,week,home_team_id,home_team_score,away_team_id,away_team_score,winner_team_id
2024,1,9,74.26,2,76.32,
2024,1,14,119.24,3,91.22,
2024,1,6,81.38,10,93.58,
2024,2,7,84.92,4,94.94,
2024,2,8,110.84,11,88.56,
2024,2,1,82.4,13,84.4,
2024,2,2,106.5,3,99.12,
2024,2,10,82.16,9,100.88,
2024,2,6,103.48,14,87.54,
2024,3,8,57.68,7,108.86,
2024,3,4,124.66,1,70.56,
2024,3,11,60.48,13,53.4,
2024,3,10,76.12,2,106.16,
2024,3,3,88.14,6,48.76,
2024,3,9,119.98,14,112.3,
2024,4,7,109.74,1,67.9,
2024,4,13,145.8,8,53.98,
2024,4,11,91.44,4,100.3,
2024,4,2,92.68,6,91.38,
2024,4,14,77.5,10,104.3,
2024,4,9,90.14,3,86.82,
2024,5,13,100.16,7,81.18,
2024,5,1,110.26,11,95.24,
2024,5,8,75.3,4,86.62,
2024,5,14,48.46,2,124.16,
2024,5,6,123.24,9,113.52,
2024,5,10,88.44,3,94.3,
2024,6,7,81.02,2,126.22,
2024,6,11,83.66,9,85.82,
2024,6,4,82.06,3,83.66,
2024,6,8,78.8,10,106.2,
2024,6,1,61.18,6,98.2,
2024,6,13,78.62,14,113.84,
2024,7,2,114.64,11,127.2,
2024,7,9,130.04,4,73.54,
2024,7,3,82.76,8,107.38,
2024,7,10,76.42,1,79.38,
2024,7,6,72.26,13,61.2,
2024,7,14,102.76,7,94.8,
2024,8,4,96.26,2,75.86,
2024,8,8,146.14,9,102.46,
2024,8,1,79.2,3,126.64,
2024,8,13,75.64,10,122.32,
2024,8,7,89.9,6,96.8,
2024,8,11,88.28,14,88.26,
2024,9,2,126.42,8,97.88,
2024,9,9,90.5,1,97.22,
2024,9,3,96.0,13,92.24,
2024,9,10,107.8,7,91.22,
2024,9,6,93.92,11,69.26,
2024,9,14,117.34,4,117.54,
2024,10,1,80.6,2,109.92,
2024,10,13,55.78,9,143.6,
2024,10,7,98.02,3,105.28,
2024,10,11,100.84,10,66.5,
2024,10,4,66.58,6,64.14,
2024,10,8,99.42,14,74.9,
2024,11,2,102.44,13,84.98,
2024,11,9,107.28,7,101.98,
2024,11,3,76.64,11,126.98,
2024,11,10,128.98,4,56.24,
2024,11,6,63.48,8,119.16,
2024,11,14,122.22,1,88.84,
2024,12,7,54.86,13,78.02,
2024,12,11,61.5,1,101.76,
2024,12,4,109.6,8,84.72,
2024,12,2,109.32,14,117.46,
2024,12,9,130.88,6,62.48,
2024,12,3,107.76,10,78.18,
2024,13,7,76.0,11,88.1,
2024,13,4,94.84,13,121.98,
2024,13,8,92.68,1,90.22,
2024,13,2,76.36,9,101.08,
2024,13,3,111.72,14,82.14,
2024,13,10,116.82,6,91.4,
2024,14,4,101.44,7,87.9,
2024,14,11,85.64,8,104.0,
2024,14,13,79.76,1,118.8,
2024,14,3,112.42,2,87.76,
2024,14,9,88.86,10,126.18,
2024,14,14,97.6,6,119.18,
2024,16,9,104.78,10,68.46,
2024,16,4,123.92,2,121.68,
2024,16,3,106.24,8,105.46,
2024,16,11,91.78,13,68.28,
2024,16,6,136.14,7,116.94,
2024,16,1,104.14,14,81.2,
2024,17,9,110.12,4,75.78,
2024,17,2,127.48,10,70.08,
2024,17,3,140.66,8,95.94,
2024,17,11,76.9,6,143.08,
2024,17,13,89.1,1,45.48,
2024,17,14,107.6,7,98.62,
